pair,hook1_type,hook1_tail_quote,hook2_type,hook2_tail_quote
CH0021+CH0022,crisis,一热。 一股巨大的热流凭空出现在他体内，蛮横的开始循着十数条经脉狠狠窜动。 热流滚烫而烧灼，像是一条火焰在路胜体内流动。 他站在原地，脸色急速涨红，浑身皮肤跟着红起来，像是煮熟了的虾壳。 汗水大量的顺着全身毛孔渗出，然后化为白气，缓缓蒸腾。,reversal,慢缓过气来。 虽然身体还是很痛，无处不痛，一些新的经脉被黑煞功内气冲开，开始纳入循环网络，自然新的被冲开的经脉也需要修复，修复也需要时间。 但他现在的感觉。 就像是浑身上下充满了气，快要炸开一般。 “再试试！” 路胜站起身，抽出腰后的长刀。
CH0023+CH0024,reward,坏。 两人一路赶到九连城，小巧已经累得不行，中途还是路胜抱着她赶了一截路才支撑下来。 路胜现在修习黑煞功，再加上每日勤练刀法，身体远比以前强壮太多。 特别是黑煞功的刺激强化。 每一次在体内运转一圈，就感觉像是一团滚烫热气在体内滋养肌肉骨骼。,reversal,乎的小巷。 蜡烛光从进门右手面的书桌上照下来，将大半房间都照亮，却反倒衬托出那半开的木窗更加幽黑。 路胜走过去，探头从窗户望出去。 木窗外的巷子，正好面对着路府的一处侧门。 从窗口望外望去，可以清楚的看到一条笔直小巷直通有些荒凉的白色侧门。
CH0025+CH0026,question,和做试卷考出来的。和打斗没什么关联。 大宋重文轻武也是很多年来的陋习了。所以此时一家人的主心骨，都在路胜身上。 “放心吧。”路胜回想起自己看到的那一抹白色衣角，心头隐隐有了一丝预感。 如果能抓住那白色衣角之人，或许能解决人口不断失踪的案子。,crisis,闯入宅院时，造成的惨状便是如眼前这般差不多。 “今晚之事，谁也不准说出去！否则……”大伯路安平阴冷的看了周围人一圈。 “来人，把这里处理下，尽量不要留下任何痕迹。” 周围侍卫和家丁被他看得浑身一寒，此时还有地上的尸体威慑，顿时谁也不敢二话。
CH0027+CH0028,crisis,手相助。” “多谢大师，也替我谢过红莲主持。” 路胜回以微笑。 另外那道人则开口询问案情。 路胜一一回答。 颜开两人在一旁仔细听着，一边也在打量这个路胜。 “是受阴气侵袭，而且是才不久受的伤。” 颜开仔细观察后，看出这个路大公子身体的异样。,question,人来再多也没用，就算你练过一点武功，也只会成我等的拖累。武功对鬼物没用！” 颜开毫不客气，皱眉直言道。 听得一边的段蓉蓉冷汗直冒，万一惹火了眼前这个路公子…… 路胜还想说话，就被颜开打断了。 “好了不用说了，这不是你们普通人能掺合得了的。”
CH0029+CH0030,crisis,跟上！”他大声道，第二个跟着路胜走过去。 其余侍卫家丁一个个都有些心头发毛，可府里规矩如山，又不得不跟着于汉一起往前。 虽说有颜开挡在前面，还有大公子在前，但这些侍卫家丁一个个大多是雏儿，没见过血，能在这种阵仗里支撑着没跑路就已经很不错了。,question,了阳气支持，脑袋起码有一半以上的地方都没了生机，能活下来已经是奇迹了。这是那位道长说的原话。” 路胜心情沉到谷底。 抱着路轻轻站起身，又看了看其余两人。 这一男一女都模样俊俏俊美，身材也匀称漂亮，显然是这里的妖鬼专门留下来不知作何用途的货。
CH0031+CH0032,reversal,道。 “按我说，二姐这样或许还能好些……免得整天出去惹是生非……” 五娘的女儿路莹莹在一旁小声嘀咕。 其余人没听到，但路胜却是因为练武，现在五感敏锐，耳聪目明，听得清清楚楚。 他抬头严厉的瞪了路莹莹一眼。 后者被吓得身体一抖，不敢再说话了。,crisis,剑兵器的江湖人，也在附近四处闲逛，似乎在寻找什么。 这些江湖人一个个相互保持距离，眼里有着警惕之色，身上或多或少都有一些气势，显然都不是九连城本身的那些练家子。 他还看到，这些江湖人不时的会从废墟堆里翻找出一些乱七八糟的东西，迅速收入怀里。
CH0033+CH0034,crisis,见面就算值了。 “内功心法？那种玩意儿……有用么？”端木婉理了理秀发，将胸前往路胜挺了挺。“内功有什么好玩的，不如公子和婉儿进房，玩一些有意思的游戏……” “婉儿姑娘说笑了，在下需要什么代价才能得到那种内功心法？还请姑娘明示。”路胜沉声道。,question,续道：“道长，昨夜到底发生了什么？”路胜又询问一次。 颜开也不隐瞒，将之前端木婉说的那一番说辞一一道来。等到说完，已经是半个时辰后了。 他这次所说的，比端木婉还要详细，或许是想到坏了路胜几匹马有些不好意思，颜开也很认真的回答路胜的一些问题。
CH0035+CH0036,question,送你。” “……我先去城里看看吧……”路胜叹气。 城里他向不少师傅学过功夫，这趟出远门，论礼节是要前去拜访打招呼的。 路全安点头默许，便任由路胜处理了。 路胜拖着才提升内气，伤势未愈的身体，第二日一大早便出了门，在九连城内坐着马车绕了一圈。,reversal,“他们也是一片好意。”路胜笑了笑。他不是什么伪君子，也不是坐怀不乱，有漂亮女孩主动追求，自己本身也没有婚嫁。他也没抵触心思，便抱着顺其自然的念头。 特别是眼前这女孩明明最好的地方是长腿，在这里的人眼里却成了最差的地方。想到这里他便有些惋惜。
CH0037+CH0038,open,芸熙坐在一起，另外一起来的还有两个女孩，一个挨着宋振国，一个挨着另一个面色清冷的学院学生。看起来都是成双成对。 嘭！ 硕大的金色烟花，在寻阳楼外骤然炸开，于夜幕中化为一朵巨大牡丹。 “开始了！开始了！！”众人纷纷欢呼起来，起身涌到楼边观赏。,question,“有人吗？”路胜一眼望去，居然整个楼船里都看不到一个人。 “我记得刚才来时，这里没这么多红灯笼……”他双目微微眯起，心中有些发紧。 楼船上三层，每层五个房间，一共十五个房间，个个门口都挂了红灯笼。淡淡的红光将整个楼船内都染成红色，一片寂静。
CH0039+CH0040,crisis,感受了下新的内功，似乎随着爆发力的增强，玉鹤功原本的自愈能力也得到了丝丝强化。 “这已经不算事玉鹤功了，既然是融合了黑虎刀法劲力技巧，以后，就叫黑虎玉鹤功算了。” 他心中这么想着，顿时修改器上玉鹤功显示的名字，也缓缓变成了黑虎玉鹤功五个字。,question,他。“我知道你可能瞧不上我，但我真的很喜欢你……” 她咬咬牙，从腰囊里取出一卷有着铜印的纸张，轻轻展开。 “我父亲说了，听说路大哥你家里要搬迁大城，不如就搬过来这里。只要你愿意，这是沿山城十五栋酒楼的商契，便都是你的。足以让路家站稳脚跟。”
CH0041+CH0042,reversal,极有可能！”路胜也想到了，“别猜了，我们直接去画舫问问吧。” 宋振国闻言，点点头。 两人二话不说，再度拦了马车，直奔松柏江边，此时天色渐晚，正好是夜晚游玩喝花酒的时间。 宋振国带着路胜轻车熟路的找到了之前他们去过的那家画舫，名字叫莺莺画舫。,crisis,来，不让其他客人点她的单。为了这事，家里老父已经和他吵了不下十次。 一想到这事，宋振国便又头疼起来。 匆匆到了家，他下车付了钱，进了庭院，便朝自己房间赶去，一刻也不想看到家里任何人。 几个侍女下人见了他，正想问候打招呼，转眼便看不到他影了。
CH0043+CH0044,crisis,为官府势力强盛，对江湖人马管束较多，所以这里的高手反倒是官场中人和带兵将领来得多。 其中名气最大的，便是一气青峰剑鲁城钟。相比此人，其余人都只是陪衬，不过鲁城钟已经八十七岁了，三个儿子都是城内高官，根本不好接近请教。 这个首先便被路胜排除。,crisis,一股冰寒气息顺着手掌急涌入体内。 那冰寒气息，居然和之前他吸收那粉末时，感觉一模一样。 “好浓的阴气！”路胜心头一震，他把这种气息命名为阴气，而这块玉石中的阴气之盛，比他之前吸收的粉末还要强出太多，以至于他不用滴血也能靠着皮肤接触吸收很多。
CH0045+CH0046,open,穿得红红蓝蓝，多是些大叔大妈，敲鼓砸锣，喊着号子，正是熏缎节前的民歌预热，朝着城中心的方向慢慢赶去。 更让路胜无语的是，周围街边出来看热闹的民众，居然也一点不觉得吵，反而兴高采烈的跟着队伍走，有的还一起跟着唱。还专门有衙门的官差来维持秩序。,crisis, “嘻嘻嘻……” 忽然一阵尖锐的女子笑声从房间另一处出响起。 君儿猛然看过去。 房间自己的床铺上，不知道什么时候坐了一个浑身白裙的长发女子。 这女子一头黑发瀑布般垂下，将整个头和脸都遮住，看不到把那点面容。她的身子骨纤细得像一阵风就能吹倒。
CH0047+CH0048,crisis,，一刀再度砸烂墙壁，扑向白衣人。 他浑身血管隐隐凸显，浮现在全身表面，身上血气翻滚汹涌，整个人仿佛一下膨胀起来，比之前的体型足足大了一大圈，如同小巨人。 他手里提着那把刀，对比他的体型，就像是捏着根小树枝。刀身粗细甚至还没有小臂的三分之一。,reversal,月生和焦荣的性命。为了我和君儿的事，差点将你们两人牵扯进来。” “此事……怕是还不算完。”路胜却冲他微微摇头。 宋振国一愣，忽然看到路胜的视线落在自己身侧君儿身上。 他迅速转头看向君儿，却骇然看见，她原本实实在在的身体，正慢慢的变得半透明。
CH0049+CH0050,crisis,婉点点头，叹息一声，全然没了第一次遇到路胜时的从容妖媚。 “有的人，总以为自己胜券在握，什么话也听不进，什么事也只认为自己是对的。无论你找出多少证明，告诉他这是错的，都没用……你说，这样的人，是不是很讨厌？” 路胜沉默了下。 “是很讨厌。”,crisis,深蓝！” 修改器界面浮现出来，还停留在刚才吸收了阴气后的状态，每个功法后面都有着一个可以推演的按钮。 路胜略过其他武学，视线笔直落在黑虎玉鹤功上。 “黑虎玉鹤功：第三层顶峰。特效：快速止血。” 下面便是新出现的阴阳引。 “阴阳引：未入门。”
CH0051+CH0052,reversal,他啊。”陈焦荣摇头，“被抽中考生检查，早就进去了。最近不知道发生了什么事，那家伙好像受了什么刺激，开了窍一般，经义策论越来越精熟，这趟怕是要中。” “是吗？”路胜微微有些意外，还以为宋振国经历君儿之事后，会情绪低落失意，没想到还振作起来了。,reversal,头子算是谢礼。 “公子上道！”老头顿时眉开眼笑。“这赤鲸帮里强人不少，据说还是帮衙门管理沿山城治安的庞然大物，想必里面一定有人有办法解决公子的体质。” 路胜可不管这些，他想到的是更强的功法，赤鲸帮如果能混进去，或许能弄到比黑煞功还强的功法。
CH0053+CH0054,crisis,是北地最强，其余什么会什么门，都没法比。 “好吧，请去登记一下名字，年龄，擅长。”他直接给路胜指了指一侧右边的一扇小门。 “事先提醒一句，我帮中弟子想要习武，都是从宣武阁中习得，而进宣武阁，需要评定阁下的实力层次，和为帮中做出的贡献程度。”,crisis,救活之前，说什么话都是白费。 他看怪物一般看了眼路胜，摇头叹气，最终拍拍路胜肩膀，什么话也没说。 路胜有些无语，刚刚才升腾起来的一点热血，一下又沉寂下来。 他忽然有些明白自己现在的实力到什么层次了。 不是自己之前猜测的名宿，或许比那更强……
CH0055+CH0056,crisis,泉的，据说莫名其妙深夜去了一趟画舫，便再也没回来，前不久还闹腾得沸沸扬扬。” “这事我也听说了，我还问过上边要不要处理下，毕竟引起的恐慌太大。上边直接回答说，这事不用管，过阵子就会自己消停。”肖老接话道。 路胜双目一眯，心中隐隐有些明白了。,reversal,音有些虚弱，但还是中气十足，欣慰笑道。 “我赤鲸帮，就是因为如路小兄弟这般的英才不断加入，才能一直雄霸北地，屹立不倒。” “诸位也都见过人了，还请说说意见吧？”副帮主陈鹰也走上去，坐下自己的位置。 专门也有人引着路胜到侧面的一个座椅上坐下。
CH0057+CH0058,open,年。 高层大多是轮番担任一下外务使，当时的吴三就是如此，他才刚刚轮换上任，知道黑祸危险，为了谨慎起见，他带了足足一队人，一共五人，都是通力层次的好手，前往调查此事。 结果，吴三失踪了，他带过去的人，也都失踪了，之后他的尸体被发现在小树林里。,crisis,。 布满划痕的房屋柱子。 还有……石桥上站着的一个书生。披头散发，正双眼直瞪瞪盯着经过马车的灰衣书生。 路胜双目一下睁大，以他的目力，能够清楚的看到，那书生面无表情，双眼里满是血丝，脸色惨白，站在那里若不是眼睛睁着，都能让人以为他是个死人。
CH0059+CH0060,reversal,”路胜心中满意。“等这边事了，去宣武阁好好找找，或许能找到不少对我有用的免费武学。”他心中对赤鲸帮的宣武阁更加期待了。 抬起头，路胜再度朝着那庄子方向看去，他隐隐能感觉到，那庄子里面似乎隐藏了什么东西。 他决定在这里常驻几天，仔细调查清楚。,reversal,身影，路胜看了看破败的庭院，阴森的环境。 “难为这小家伙了。” “没想到这真有人住啊。”段蒙安感觉有些紧张。 “这庄子有人住很奇怪么？”另一人叫宁三，是路胜挑选来专门走这一趟的好手。 他们假借路人身份，便是打算来仔细调查这个庄子的内部情况。
CH0061+CH0062,reversal,下烛台，就这么走出房间，朝茅房方向走去。 黑漆漆的庭院里，到处都看不到灯光，也不知道其他人是都睡了还是怎么的。一个人声都没有。 路胜缓缓顺着走廊往外走，茅房的方向，一般是在房屋的后院。 他走出走廊，进到院子，绕到整个卧房的侧面，往后院走去。,crisis,死。 要不是李顺溪动手够快，这护卫也是小命不保。这下，包括龚如清和龚如梦在内的所有人，都对李顺溪越发佩服和依赖。特别是两个漂亮女孩的青睐，让李顺溪越发得意起来。 他也频频看向路胜。却见其依旧没有任何反应，只是似乎因为找不到人，面色越发凝重。
CH0063+CH0064,crisis,几个回合后，他居然有些抵挡不住。 他咬咬牙，从腰包里取出一根暗金色锥子，上边刻有细密的繁复花纹。 可看到梨花带雨的龚如清，他又下不来手。毕竟这女子只是被附身而已，这样下手，岂不是等于自己亲手害了一条性命？ 犹豫了下，他马上又被狠狠划了一刀。,crisis,面色瞬间青了。 “啊！！”段蒙安吓得赶紧把还站在身边的那个护卫推开。那护卫也是面色青白，身上散发出一股股腐臭。 宁三满头冷汗，一想到自己刚才居然和一堆死尸睡了这么久，他就心头打颤。 “走吧。”路胜看也不看一群护卫小姐，大步朝着厨房门口走去。
CH0065+CH0066,reward,居然一个也没有。 虽然处于黑夜，一片漆黑，但依旧阻挡不了路胜强大的目力留意到这细节。 前后结合一下，他便有了猜测，之后再一一仔细观察，还有闻到龚如清等人身上的气味，极其稀薄的淡淡气味，和那小女孩宋云娟身上一模一样。 结果自然便八九不离十了。,question,且打中几十下能消灭掉一头鬼物，就算不错了。像尸魄这样的鬼物中也算棘手的角色，居然被路兄双掌数十招内打得融化成黑水。李某还是第一次见。” 路胜也有些奇了。 “或许是我所练的功法阳性极强？” “敢问路兄，你练的内功是什么名字？”李顺溪好奇问道。
CH0067+CH0068,reversal,路胜毫不在乎。 “你果真和其他人不同……”老帮主洪明资笑道，“路兄弟实力非凡，我听欧阳长老他们说起过了。不过大家都是一个帮的，抬头不见低头见，没必要弄得这么僵。” “既然老帮主发话，若是和那公孙张兰动手，我便给他留点颜面好了。”路胜随意道。,reversal,相差不太大，他才心中感慨，知道以自己的实力，要当路胜师傅还是有些勉强了。 但看着这一位良才美玉，他又担心其以后又会为了其他武学离开赤鲸帮。 路胜能够因为武学加入赤鲸帮，一旦以后遇到更强武功，未尝不会因此离开。 所以他便想来想去，想出这一招。
CH0069+CH0070,crisis,个人便奄奄一息，躺在地上嘴里不断冒着血。 路胜站在原地，看了眼公孙静一起的两侧壮汉，这几人吓得浑身一抖，赶紧让开低头。 “公孙张兰那老家伙老是避开不和我打，这下看他还有什么理由龟缩不出！” 一阵大笑后，路胜带着段蒙安宁三一众人骑马扬长而去。,reversal,融合了两者特点，那么新功法就叫，阴阳玉鹤功吧。”路胜迅速给其命名。 新的阴阳玉鹤功，已经远远不是以前玉鹤功那种低级养生功，而是提升成了路胜也无法预料效果的高级养生功。 融合了多门内功的优点特色，这门新内功刚刚转化完毕，便让路胜感觉到了不同。
CH0071+CH0072,reversal,自家修为性命的关键，交给他人处理。就算是赤阳丹，他也找过医者询问成分。之后还拿兔子尝试过。 所以所有需要辅助药材的硬功都被他略掉。 硬功只有两个书架，一共十五本册子，这便是赤鲸帮收集的全部积累，其中通力境到通意境的都有，但更上的凝神就没了。,crisis,波浪涟漪。 他整个人如同炮弹飞射出去，双眼闪动兴奋的火花，轰然朝着前方沙滩射去。 那里，站着的公孙张兰后撤躬身，双掌虚合，浑身须发浮动，一股股肌肉筋膜不断发出弓弦般闷响，汇聚大量内劲在双掌之上。 他望着急速射来的路胜，眼底流露出冰冷的杀意。
CH0073+CH0074,crisis,前的所有刀招，强到几乎不像是一个人使的。 公孙张兰只感觉眼皮一片针刺般疼痛，刀刃太快，以至于在他眼中只留下一道残影。 来不及多想，他本能的抬枪挡在身前，枪尖抖动出朵朵枪花。 轰！！！ 刀枪撞击，发出的不是金属交击，而是内劲剧烈的爆炸震荡声。,crisis,仰又更一步提升。不过不知不觉间，他又把称呼改成了老大而不是公子。 “说了多少遍，叫我公子！”路胜顿时不满了。 “是是是……公子……”宁三脑门有点冒汗。 一旁的边宿两人面色怪异，想笑但怎么也不敢笑。 路胜懒得搭理几人，下了船去找老帮主两人了。
CH0075+CH0076,reversal,了……”段蒙安无奈诉苦道。 路胜也有些不爽，他修习这个九江铁索功已经半个月了，但还是没真正入门。 这门硬功走的是用钝器大力捶打身躯的路子。刚开始找来不少大力士捶打身体，效果好像还行，但现在还差一点入门练到入门时，却发现所谓的大力士不够用了。,question,倒是听过五小姐的事……”巧儿有些迟疑道。 “她现在怎么样？我记得家里也给她安排了一间书店作为收入生活吧？”路胜问。 “是……巧儿前不久去买香料时，还在旧唐园那边的街面上见过五小姐。”巧儿声音越来越小，“当时看到她和一个书生公子走在一起……”
CH0077+CH0078,crisis,国端坐下来不过半炷香功夫，居然真的安安静静入了定。 虽然这养生功入门很容易，号称一天就能有气感，但这入定速度未免也太快了吧？ 要知道一旦入了定，很快就容易有气感。 “路师，我感觉有一股细线在胸腹处来回循环自然流动。”刚想完，宋振国便开口了。,reversal,的寒露可不是闹着玩的。” “恩，赵叔你看那里，是不是有个村子？”路全安忽然朝着远处右侧指了指。 赵伯跟着望过去，只见墨绿色的山峦之间，官道边上，孤零零的有着一片土墙平房，似乎是个村落。只是看起来有些荒凉破落。 “过去看看，花点钱借助一宿。”
CH0079+CH0080,reversal,飞掠，但那些画面里都是男的向女的求婚，而让他没想到的是，陈芸熙这么一个大美女，居然主动到这个份上，专门定制了这么一枚精致的白玉扳指，向他求亲。 心头无奈了下，路胜还是冷静下来。 “抱歉，我给不了你想要的生活。”他轻轻将首饰盒合上，推了回去。,reversal,…” 哧！ 灯火缓缓被点燃，亮起淡黄色光亮。 “尘心？尘心？” 土屋内路天洋缓缓放下手里的打火石，借着油灯灯光看了看土屋内，天色都微微亮了，路尘心居然没在屋子里。 “这小子，又跑到哪去了？难不成是偷偷和秀秀胡搞了？”他揉了揉眼睛，打个呵欠。
CH0081+CH0082,question,下，一匹通体没有杂色的黑马，缓步走进小村子。 马上骑着一名气质温和，面带微笑的年轻公子。 “就是这里吗？”这公子脸上微笑不变，仿佛僵硬了一般，始终一个模样。 他一身青衫，手无寸铁，身上也没有悬挂任何兵刃，只有腰间系了一块墨绿翡翠，简洁朴素。,crisis,显得有些乱。 路胜松了口气，抖了抖缰绳，加快速度走过去。但还没走近，他一眼便看到，其中一辆马车上，居然挂着一个大红灯笼。 马车进出的车门上，挂着一个血红色的大灯笼，而透过车窗可以看到，里面隐约还挂了两个一样的红灯笼。 路胜的眼神一下凝固了。
CH0083+CH0084,crisis,，远离车厢。 刚刚站起身，又是一个红灯笼撞上来。 嘭！ 路胜一口逆血涌上喉头，顺着嘴角流出来，他连退数步，周身热气滚滚，刀刃和双手都全是滚烫内气。 左右看看，还是没找到人。 “怎么？这就没招了？”他笑了起来，指着自己额头，“来，朝这儿打。”,crisis,在前面官道上。 一路上路胜又仔细观察了两侧，强撑着剧痛，确定了车队后面的路还算安全，一直到了沿山城，他安排帮众前去接应家中车队，才由玉莲子扶着进了城外的金玉花房。 这里现在已经成了路胜半个据点，还雇了工匠开始在这儿重新建一栋阁楼，方便休息。
CH0085+CH0086,crisis,猜想真的能成真，那么就代表着阴气不光可以推演武学，还能用来直接提升武学境界。 “深蓝！”他迅速叫出修改器。 淡蓝色方框唰的一下出现在他眼前。 路胜视线迅速定位在了其中的赤极心法上。 “赤极心法：第五层，特效：强化火毒，双重震荡，强化引燃。”,crisis,这拘力是不是力量实力达到一定程度后，自然而然产生的自然反应。但后来发现不是。”洪明资眯起眼睛，“这拘力，不光有毒性，还是一种隔绝保护力量，它就像是一层鸡蛋壳，将那些不死的存在包裹得严严实实，不打破它，甚至连伤都伤不到他们。更别说破不死身。”
CH0087+CH0088,crisis,动下散散心。另一方面，是沿山城内的最大古玩店善宝堂，通知他有一批灰货刚到，请他前去挑选。 善宝堂是沿山城内一帮二会三门中涉林会的产业。 涉林会和赤鲸帮关系还行，在之前路胜便通知了他们，说自己想要一些从墓葬里发掘出来的物件，那边果断便留意了。,reversal,头，不知道怎么的，他此刻看路胜，总感觉和之前比换了个人似的。 如果说之前像是猛兽一般让人感觉危险，那么此时的外首，气息更浑厚，厚重，给人一种更加稳固和山一般的沉静。 “那就先送到这儿来，我亲自送回去。”路胜吩咐。无论如何，家里都要一个交代。
CH0089+CH0090,question,这是把他当真正的亲近之人对待。 “甄家不稳……若是真要做好打算，该怎么做？”路胜心中有些阴沉。 北地是甄家在扛着对抗怪异妖魔鬼怪的大旗，他们享有整个北地大量的资源供给，也为北地提供安定。 而一旦这个巨大的保护伞出问题，随之而来的麻烦就大了。,crisis,连城的路家元气大伤，再这样下去怕是要家道中落，所以他才下决心要搬迁。 “既然来了，就先定下来。老爹想好要入手哪一行了吗？”他细问。自己身为赤鲸帮高层，有权不用过期作废，自然能照顾家里的，就要尽量照顾。 “先看看吧，还没头绪。”路全安无奈道。
CH0091+CH0092,crisis,索功入门了，他打算一会儿回房，便开始直接用修改器修改这门硬功试试，有阴阳玉鹤功做底，应该问题不大。这种通力层次的外功，就算硬功消耗都大，但因为层次低，不大可能太变态。 他修习这个的目的，也是因为九江铁索功好歹也是防御武学，关键时刻可以保命。,reversal,以为只有我们能对付鬼魂，没想到现在，终于遇到路公子这般的高人！” 路胜听得云里雾里，莫名其妙。 “你们从头开始说说。我怎么越听越糊涂了？” “那好，我们给您从头说起。”柳琴认真道。 她仔细回忆起最开始的时候，眼里慢慢多了一丝温柔和一丝痛苦。
