stage,chapter_id,title,sig_count,reward_signals_clean,hook_type,hook_tail_quote
Stage2,CH0088,第88章 提升（二）,5,提升 推演 特效 强化 成功,reversal,晚可以将路尘心的尸首拉回来了，时间到了吧？”他忽然想起来问。 “到了。”玉莲子点头，不知道怎么的，他此刻看路胜，总感觉和之前比换了个人似的。 如果说之前像是猛兽一般让人感觉危险，那么此时的外首，气息更浑厚，厚重，给人一种更加稳固和山一般的沉静。 “那就先送到这儿来，我亲自送回去。”路胜吩咐。无论如何，家里都要一个交代。
Stage2,CH0050,第50章 事了（二）,5,突破 提升 推演 特效 得到,crisis,，知道这有可能是短时间内临时出现的一缕内气，之后随时会消失，他马上心中默念。 “深蓝！” 修改器界面浮现出来，还停留在刚才吸收了阴气后的状态，每个功法后面都有着一个可以推演的按钮。 路胜略过其他武学，视线笔直落在黑虎玉鹤功上。 “黑虎玉鹤功：第三层顶峰。特效：快速止血。” 下面便是新出现的阴阳引。 “阴阳引：未入门。”
Stage2,CH0103,第103章 逼近（三）,5,突破 提升 推演 特效 成功,crisis,的行走。 因为距离远了看不清，渔民便有人好奇，靠近查看。却不想因此接连失踪了七八人。引得了当地乡绅的注意。在自己调查无果之下，乡绅迅速上报，层层传递，失踪的人越来越多，最后才到了沿山城。 “一般这类失踪事件性质，都是极其恶劣了才会传到沿山城，一般的案子，下面的人也都能自己处理。只有实在没办法才会层层上报。”宁三低声道。
Stage2,CH0071,第71章 约战（一）,4,提升 推演 融合 特效,reversal,乎九成的硬功，都要特制的药汤药丸辅助，而没有这方面的技术，路胜根本不敢将这等关系自家修为性命的关键，交给他人处理。就算是赤阳丹，他也找过医者询问成分。之后还拿兔子尝试过。 所以所有需要辅助药材的硬功都被他略掉。 硬功只有两个书架，一共十五本册子，这便是赤鲸帮收集的全部积累，其中通力境到通意境的都有，但更上的凝神就没了。
Stage2,CH0102,第102章 逼近（二）,4,突破 提升 推演 融合,reversal,消耗更大。 路胜打算，最好能先把保命效果很好的九江铁索功之类的硬功，提高到提无可提的顶点。 他打算将能找到的所有硬功，若是条件允许，全部融合为一体，推演出一门最强的硬功。 同时那些冲突性质的，最好是把能修炼的都修了。反正有修改器在身，硬功这种东西怎么叠加都可以。 只要有足够阴气，他就能源源不断的修成各式各样的不同硬功。
Stage2,CH0085,第85章 秘闻（一）,4,提升 推演 特效 强化,crisis,着，我可以用阴气代替消耗，直接提升武学！”路胜忽然想到这点，双眼一亮。 如果这个猜想真的能成真，那么就代表着阴气不光可以推演武学，还能用来直接提升武学境界。 “深蓝！”他迅速叫出修改器。 淡蓝色方框唰的一下出现在他眼前。 路胜视线迅速定位在了其中的赤极心法上。 “赤极心法：第五层，特效：强化火毒，双重震荡，强化引燃。”
Stage2,CH0096,第96章 任务（二）,4,突破 提升 推演 得到,crisis,意，放下刀，又朝着中央卧房走去。 当初他来这里时，那怪异小女孩便是一直住在主卧房里。这庄子里还养了尸魄和一大帮子鬼物。 现在被甄家人扫荡后，或许能找到一些阴气还没散掉的东西物事。 嘭的一脚，踹开主卧房木门，路胜缓步捂着鼻子躲避灰尘，走进卧房。 地上横七竖八的躺了不少空衣服，还有很多像是骨灰一样的灰白粉末，撒得到处都是。
Stage3,CH0219,第219章 三夜（一）,7,突破 提升 推演 融合 特效 成功 得到,reward,随即对着洪源锐沉声道。“我有事先去接待下。” “爹你去吧。我还需要稳固一番。”洪源锐点头道。 洪清点点头，转身快步离开院落。 穿过院子，他走进侧面的花园，毫不停留的走过花园中的一道道拱门，来到一个被花丛包围的狭小角落。 到了这里他停住脚步，在这里等待了一会儿。 很快，一个面色发白，身穿素白长衣的中年文士，缓步走入角落。
Stage3,CH0154,第154章 到来（二）,6,突破 提升 推演 融合 特效 得到,reward,转。 这不是内气，也不是实物，而是纯粹的无数道震动，头发丝大小的震动。 这样的震动疯狂的提升和调节着路胜的肉身。 如果是普通的武者，要想达到这种程度，需要把这些武学一门门的全部推演突破极限，之后还要融合在一起，同一时间晋级，对肉身产生冲击，才能达到这般效果。 而没有修改器，就算是路胜自己，也至少需要上百年才有可能实现。
Stage3,CH0155,第155章 阴极（一）,6,突破 提升 推演 特效 强化 成功,reversal,系里推演出来的新境界，很快便看出了阴鹤网是个什么东西。 这是一张纯粹用阴性内气凝聚的经脉网络，之前的强化抗毒，高速自愈，渡气，同化，还有最关键的镇压阴阳等等特效，都凝固到了这个特效里。 “这完全是避开了原来的拥挤公路，自己建立交桥啊！” 搞懂这东西的功能后，路胜满脸惊叹。 这修改器居然把立交桥的创意，用在了内气运转上。
Stage3,CH0138,第138章 疗伤（二）,6,提升 推演 融合 特效 强化 得到,crisis,和温暖，没有任何不适。 “算了，接下来好好养伤。先暂时不动，等伤势痊愈后，再用剩下的部分阴气提升，看来阳气过重的弊端硬功得到缓解了。之后只要一直同步提高阴阳玉鹤宝瓶气就行。”他暂时不去多想，先恢复伤势要紧。他可不相信，无忧府死了这么多主力，会一点动静也没。 想必很快便会有人发现他在晚上前往东山山脚的动作，派人前来问询。
Stage3,CH0213,第213章 日暮（三）,6,突破 提升 推演 特效 强化 得到,crisis,的内容，路胜都能轻松理解，并记住。 转眼又过了七八日，路胜的布元丹吃完了，这一日又要去洞口等人送来。 他通过学派特殊的飞鸟书信，可以很轻松的将信件传到赤鲸帮众手中。并得知白铃城中的情况。 斜靠在洞口，路胜望着外面灰蒙蒙的瓢泼大雨，一时间有些走神。 “想家了？”荷香子不知道什么时候，来到路胜身后，也学着他站在洞口靠着墙。
Stage3,CH0156,第156章 阴极（二）,5,提升 推演 强化 成功 得到,reversal,根本看不出她是女性，光那堪比成人大腿粗的胳膊肌肉，就让人望而生畏。 最为诡异的是，女子全身露出的皮肤，都呈现出水浸泡过很久后的苍白。 “这么说，你追来是想要和我打一场？”女子下巴微微扬起，眉心紧皱，一头钢针般的白色短发被风吹得不断侧扬。 “你觉得呢？红坊主。” 另一个一身漆黑，手里握着巨大狼牙棒的人影，出现在她的对面。
Stage3,CH0198,第198章 决定（四）,5,突破 提升 推演 融合 得到,reward,批量生产来赚钱……”路胜视线缓缓从眼前的一溜秘籍上划过。 “玄光定神掌”、“大日流沙剑诀”、“还圣功”、“金风玉露决”、“蓝风玄武勾”、“八门皇拳”、“云煞掌”…… 一门门凝神绝学，名字都取得相当霸道，明显都寄托了创功者极大的希望，希望能够如名字一般强霸纵横。 “可惜……连天元也不过是俗世中较大的蚂蚁。”路胜微微叹息。
Stage3,CH0150,第150章 邪玉（二）,5,突破 晋升 提升 成功 得到,crisis,，但这些东西武盟很多，现在武盟乱成一团，盟主失联，路兄你完全可以带人去将武盟的势力接收一部分。另外，你杀了无忧府主祭，若是红坊没发现还好，若是被发现……”李顺溪没说下去。“路兄可前往中原，找一个叫青纵谷的地方。” 路胜微微点头，接过纸，上边是张地图。 “这还是武盟的地形图，路兄可按图找到他们隐居的山谷。”李顺溪低声道。
Stage3,CH0163,第163章 动作（一）,5,突破 提升 推演 特效 得到,crisis,的阴气，似乎花得也不那么浪费。 “特效：火血。” 路胜意念移上去时，迅速得到了这个特效的具体效果解释。 “极度的活化，让自身的细胞，血液变得具有超强吞噬性和侵略性。能抵抗绝大部分病毒细菌，因为超强的活性，对毒素也有极强的抗性。若是为其他生物注入或者吞噬，将会引发极其严重的排斥反应。同时对内气也会有极大程度的活化影响。”
Stage3,CH0209,第209章 秘闻（三）,5,突破 提升 强化 成功 得到,crisis,。 “老师，不如直接让荷香子和我对阵一场，其他人反正也都不是我的对手。”他借口提议道。 “可以。”大长老点头。 路胜身边的荷香子也不推辞，缓缓起身，走到场中。 “焦心，你的第四层过了没？”大长老转而又问其中一名女弟子。 “还没……” 一旁坐着的路胜，分明看到大长老眼中闪过一丝失望。这焦心是派中血脉资质仅次于飞蝗子的人。
Stage3,CH0187,第187章 不笑（五）,5,提升 推演 融合 特效 强化,question,里也不时闪过一丝恐惧。 颜开没和他争，他看得出，这个师兄是曾经被朝龙吓破胆了。但他见过路胜，知道此人如巨枭，行事肆无忌惮，极其直接残暴。加上此处也在北地境内，在这里要是惹得这位路大帮主不高兴，那结果不言而喻。 真要这两位对上，他不觉得路胜会输。 “不管怎么说，这两位都是我们惹不起的大人物，不要去招惹就是。”颜开低声道。
Stage3,CH0216,第216章 接连突破（二）,4,突破 提升 特效 得到,reward,只有当年号称最弱的大长老一脉传承下来，其余的秘术路线，都是残缺。 所以路胜别无选择，也只能选择鬼面决。 “阴气还有，可以继续提升。”路胜感知了下体内情况，肉身强度起码提高了两到三成。而内力似乎都受到了影响，运转速度更加晦涩艰难，但每转动一圈，产生的内气也更浓了，气液的颜色渐渐朝着微黑色转变。显然是受到了毒雾魔气的影响。
Stage4,CH0287,第287章 火焰（三）,7,突破 提升 推演 融合 特效 强化 得到,crisis,嗝，猛地一吐。 哧的一下，一块漆黑色菱形晶体被他喷出来，晶体边上散发出如同触须般的卷曲魔气。 “这是……”路胜疑惑的抓起菱形晶体。 这是他吃掉蛇豹后，留在肚子里极少数不能被消化的物质。 他捏起晶体，拿近一些仔细研究。 唰！ 猛然间，晶体内一下睁开密密麻麻无数惨白眼睛。 数百只眼球陡然盯住路胜，就算是他，也心头微微一顿。
Stage4,CH0272,第272章 注定的毁灭（二）,6,提升 推演 特效 强化 成功 得到,reversal,转化后的元魔气，比原先精纯了不少。 这样精纯的元魔气一出现，顿时身体的所有细胞，都如同沙漠中缺水的饥渴旅人一般，疯狂抢夺吞噬。 刚刚转化出一股元魔气，便马上被争抢殆尽。 “再来！”寄神力才消耗十个单位，路胜大喜之下继续提升。 他伸出手，一小团绿色火焰在他手心燃烧起来。这便是阴火，元魔宗所有秘术的根基，转化元魔气的关键。
Stage4,CH0288,第288章 火焰（四）,6,突破 提升 推演 融合 特效 得到,crisis,浮现着紫色烟气，将黑球包裹其中。 这是路胜刚才一刀斩下，这一层所有魔物死亡后残留的魔元。八首魔极道杀死生物后，都会转化其生命力化为魔元，只是如今路胜一刀杀死的魔物太多太多。 密密麻麻数百，上千的黑线不断飞来，落入他手心。 纯紫色岩浆之上，遮天蔽日的黑线万流归宗般汇聚到一点。汇聚到他右掌。 仿佛他便是掌握这一切的……神！
Stage4,CH0308,第308章 秘辛（二）,6,突破 提升 融合 特效 强化 成功,crisis,灭之门。魔界之门通往魔界，痛苦之门通往一个充满痛苦之地，传说那里没有快乐，没有一切正面情绪。能够感受到的，只有痛苦。而最后的毁灭之门，我也不清楚。只是看过记载，大概知道那是打开就会释放毁灭的地方。那里有着一切的禁忌，传说当世间的某种物质，某种东西积累到一定程度时，就会有神秘存在觉醒，打开毁灭之门，净化一切，重塑一切。”
Stage4,CH0273,第273章 注定的毁灭（三）,5,提升 特效 强化 成功 得到,reversal,又被外界源源不断吞噬吸收的魔气所弥补。 毒雾之河内，以路胜为中心，整个小湖浮现出一个不大不小的缓慢漩涡。 几条巨蛇胆怯的在外围游弋着，不时发出不安的低吼。自从上次被路胜活撕了一条同伴后，它们一看到路胜到来，便每次都躲得远远的。 原本它们以为路胜每次就喝点水就离开，却没想到这趟和有一次一样，居然喝水喝到湖水都开始下降了。
Stage4,CH0278,第278章 注定的毁灭（八）,5,提升 推演 融合 特效 强化,reversal,画卷缓缓朝前飞扑出去。迎向远处飞来的无以计数黑色魔物洪流。 “是上阳家的天月山水大阵！画师居然全员出动了！”白修神色一凝。 “那是……”黄复却是看到了远处天空密密麻麻如同墨汁般的魔物群。 “魔灾……！”白修也面色一下惨白无比。 在那无数魔物之间，漆黑如墨的阵型中，隐隐有着两只巨大银灰色眼眸，正透过空间凝视着整个白铃城。
Stage4,CH0358,第358章 重要之人（二）,5,突破 提升 特效 得到 奖励,reward,，那么无论如何，都必须找到。” 路胜双眼四处扫视缚灵宗队伍。 “为防她漏掉，必须先找一个所有人都必须经过的地方拦截。” “为防她易容伪装，最好把所有遇到的人都打残，之后慢慢检查。” 似乎感觉这工作量有些浩大，路胜皱了皱眉。 他最后扫了眼缚灵宗方向，已经决定直接从三宗的休息点下手。 “祈祷吧……祈祷我提前找到想找之人。”
Stage4,CH0228,第228章 极限与法（四）,5,提升 融合 特效 强化 成功,crisis,？”之前一直锻炼着身体的细微肌肉组织。原来是一直在为此刻做准备。 血肉海螺很快成型。 路胜试着调动魔气，从上方灌入。 呼…… 就在此时，他自己也没注意到，周围身边，大量的毒雾之河河水狠狠一颤，一圈圈震荡般的波纹，以他为中心，朝着四面八方蔓延扩散开来。 一种幽深的，如同来自黑暗深处海潮的声音，从他体内的海螺中，传递出来。
Stage4,CH0263,第263章 局面（一）,5,突破 提升 强化 成功 得到,crisis,去平衡，单手在地面上空翻了几次，才落地站稳。 但那鞭子居然依旧缠在他腿上无法解脱。 “老娘隐藏了这么久，可就是等的这个机会……”银子站起身冷笑，“一旦被我的冰印蛇缠住身体，就算你挣脱鞭子束缚，一身实力也会被下降到了一个难以忍受的程度。” 她握紧手里的鞭子，脸色凶恶起来。 “现在，给老娘去死！！”银子和孙梦同时冲向画师。
Stage4,CH0268,第268章 大难（四）,5,提升 推演 融合 特效 得到,crisis,有些莫名伤感。 “好了，回去吧。”枯瘦人影叹了口气，淡淡道。 “是……” 轰隆…… 高达数十米的巨大灯塔，缓缓颤动起来，整个灯塔从两侧伸出四条岩石手臂，撑住地面站起身。 这个巨大的灯塔，居然只是一个庞大如巨猿的恐怖怪物的头颅。 巨猿的下半身，其实就是被海浪不断击打的黑色山崖。它低吼一声，带着枯瘦黑影，转身朝着远处离去。
Stage4,CH0274,第274章 注定的毁灭（四）,5,提升 推演 融合 特效 强化,crisis,快挖！”路胜不耐烦起来。 忿怒之狮虚弱的爬起身，畏惧的看了他一眼，只能一瘸一拐的继续加入前面挖土的行列。 都说阴魔无法控制，路胜觉得那只是没找对方法。 石穴仿佛无穷无尽，路胜也不知道挖了多久，但以他的速度，起码有了数万米，石穴通道的水流也终于慢慢减少了，通道越来越空。 前面两侧石壁逐渐浮现赤红色微光，仿佛被烧红的烙铁。
Stage4,CH0280,第280章 注定的毁灭（十）,5,提升 推演 特效 强化 成功,crisis,。 其实就是魔体全部到了最顶尖，修无可修的程度。 最后的第四境，反元归流，是修改器推演出来，但由路胜命名的特殊境界。修改器推演到了这一境界后，路胜全身的血肉骨骼，大部分都逐渐演变成，和魔元极度契合的特殊结构。 这种结构极容易膨胀和缩小，并且无论是物理防御，还是对火焰，对剧毒之类的抗性都要比原先单纯的人类细胞时轻松许多。
Stage5,CH0389,第389章 再见（一）,7,突破 提升 推演 融合 特效 强化 得到,reversal,。 路胜抬起右手，食指微颤，顿时释放出一丝丝阳元。 白银色的阳元先在他指尖转化为金色的千阳宗赤金真气，随即又转化为一大团漆黑色魔元，最后又变换成纯白色的气液液滴。 三大体系，尽皆吸纳。 “完成了……接下来，只要收集神兵魔刃，然后阅读足够多的各类典籍，为下一步的推演提供养分材料即可。” 路胜已经彻底明了了自己以后的道路。
Stage5,CH0457,第456章 第二柱（二）,7,突破 提升 推演 特效 强化 成功 得到,reversal,，可实际上却是能一直不断攀升质变的强大能量。” 路胜视线落在了灵力法方框后面的推演按钮上。那代表寄神力可以推演这个法决，也代表他现有掌握的所有体系中，有能对灵力有助益的方法方式。 “好了……就让我看看，具砚到底想要隐藏这个世界什么样的真相……龙级之后的灵力，有什么秘密。”路胜心头泛起一丝期待。意识精准的点在推演按钮上。
Stage5,CH0428,第428章 源力（二）,6,突破 提升 推演 融合 得到 奖励,reward,。 “许老……您这是……？！” “拿出你的全力来吧，如果能打动我，那你注定就会成为我三圣门的第三圣王。” 老者神色平淡，目光中弥漫着冰冷，柔和，悲哀，和一丝无奈。 李顺溪，其实从最初开始，他便注定要走上这条路，无论挣扎与否，结果其实都一样。 他未来，注定就是要站在三圣门最巅峰的那个位置。就如同他注定得到那块神兵玉一样。
Stage5,CH0479,第478章 连锁（二）,6,突破 提升 推演 融合 成功 得到,reward,了的本体肉身上。 他如今的本体肉身，在很久以前就陷入了无法再提升强度的瓶颈，因为外功硬功功法能够达到的极限，他已经达成了。 再走下去，周围的环境也好，功法也好，都不足以让其更进一步。 但此时这个世界的功法原理，让他看到了一丝另外的曙光。 若是以他的本体，孕育新的生机，让生命更进一步进化质变，那会创造出什么样的强大肉身？
Stage5,CH0362,第362章 重要之人（六）,6,突破 提升 推演 特效 成功 得到,crisis,的白发老者。 “恩。他和之前的弟子不同……”迁蠹苏狞扉微微摇头。 “你把那块石板给他了？”老者诧异道，“以前没见过你这么大方啊？” “怎么可能，我乱画了几下做了块新的而已，死寂石板怎么可能随便给人？” “上边什么内容？” “不记得了，是套普通刀招吧。” “那你要他领悟什么？？”老者无语。 “谁知道呢。”苏狞扉面色冷淡。
Stage5,CH0464,第463章 归一（一）,6,突破 提升 推演 融合 成功 得到,crisis,入其麾下的投奔者，都没有退路可言。 而眼前这位路圣主，其身份不光是边远地区的一大势力霸主，其身上更流动着远光一族的血，虽然他自己并不承认罢了。 更为重要的是，这一位的儿子，路宁，是有着极其纯粹强大的燃烧之血的纯血族人。 当初路宁出生，远光总脉感应到迹象，便急匆匆派人前来，试图将路宁收入族内教养。 却被路胜强硬挡了回去。
Stage5,CH0503,第502章 回归（二）,6,突破 提升 推演 融合 特效 成功,crisis,胁危险。 “不是每个人都能迅速适应不同世界的规则冲突……此事，还得从长计议。”路胜心中将这心思暗藏下去。 天魔世界实在水太深了。 不死的怪异还没搞清楚怎么回事，然后便是天魔本身的体质，还有痛苦世界，魔界，三圣门，邪灵，等等等等，一系列的危险麻烦，都逼迫着这个世界的人族们不得不奋力苦修，否则一个不小心就是人死魂灭的结局。
Stage5,CH0421,第421章 交换（一）,5,提升 推演 特效 成功 得到,reward,再看其余五人，就连最年长的那个所谓的原师兄，也神色紧张，额头见汗，浑身皮肤肌肉紧绷，气息都不稳，更别说正常说话。 其余人也一样紧张得脑袋一片空白，这不只是他们的缘故，也有路胜如今实力强大，回收八首魔极道诸多阴魔后，自然而然弥漫出对下级生物的精神威压。 圣主本身原本不会有这威压，但加上他有着一头能影响精神的阴魔就不同了。
Stage5,CH0469,第468章 谋划（二）,5,突破 提升 推演 融合 得到,reward,有一名同伴，是同宗师姐岳彩，但因为半路遭遇魔修暗算，身受重创，体内中了名为青玉螳螂的阴性剧毒。 在一前辈高人的指点下，两人知道只有至阴至寒属性的青冥玄珠，才能牵引吸出青玉螳螂，救得师姐性命。 杜光赤对师姐岳彩情根深种，当下便远赴海外，顺着高人指点，找到此地。而他身边的姚帘则是对杜光赤心有所属，甘愿随他一起前来寻宝救人。
Stage5,CH0363,第363章 重要之人（七）,5,突破 提升 成功 得到 奖励,crisis,部打通，获得更高分数，之后大家在分出高低看谁能的第一，不是更好？” “想法很好，但宫师姐，您幽铟宗的实力本就比我千阳强，再加上我们什么情况您也应该知晓，不要到时候你们仗着人多势众，争夺莫凌府最强相互助力，那时谁来为我路师兄和长孙师姐考虑？”谢玉琼赶紧出言反驳，虽然宫池比她强很多，但现在有路胜撑着，千阳宗也不惧其他什么。
Stage5,CH0403,第403章 底牌（一）,5,提升 推演 特效 强化 得到,crisis,魔物阵地，居然被彻底杀穿。 “第三组的人，还活着么？”不远处的山丘传来大吼。 琼觞回过头望去，又奋力朝着那处山丘冲杀过去。 魔灾突然降临，朝廷阳明军促手不及下，被突袭碾杀，短短时间损失近半人手，剩下的也趋于崩溃。 迟迟赶到的阴符军无奈之下，组织残军，又派人征调民众中的高手，应付魔灾。 琼觞便是这个情况下，参与进了厮杀。
Stage5,CH0408,第408章 法（二）,5,晋升 提升 推演 融合 得到,crisis,怪，你不该来这里……” “前……前辈……”段泽浑身冷汗狂冒，还想说什么，但已经迟了。 嘭！！ 一点黑光炸开，段泽整个人骤然爆开，身体收缩，如同血球般瞬间四散飞溅。但血肉尸骸还没完全散开，便被一团金光瞬间包裹燃烧，所有血肉转眼便化为大股黑烟。 人影轻轻一吸，将黑烟吸入鼻中，一把握住飞云枪，轻轻一跃，便射入阴影中消失不见。
