chapter_id,title,hook_type_guess,hook_tail_quote
CH0016,第16章 变故（一）,reversal,胜放下筷子，看向路全安。 “你说九连城收集不到武艺了，要不要去一趟沿山城？” 路全安认真道。 “沿山城？” 路胜一愣，他没想到老爹居然是要他离开九连城。 “是啊。”路全安点点头。“那里有我的一个老友，他前几日书信里提到，沿山城有中原名家高手开门授艺，你若是愿意，可去一趟那边，说不定可以带回来一两套中原真正的厉害武学。”
CH0017,第17章 变故（二）,crisis,向二头。 “来吧！”二头咧嘴一笑，大斧头挥了挥。指着自己脑门道。 “小娃子还像模像样的，往这儿砍！这儿！” “你爷爷我站在这儿原地不动让你……” 哧！！ 刹那间一道银色电光一闪而过。 路胜手中的长刀一下化作轻灵的燕子，骤然跨越数米距离，一下从二头身上横切而过。 噗！ 一颗人头骤然飞起。 血撒了一地。 整个院子一片寂静。
CH0018,第18章 变故（三）,crisis,和两个通力境的交手，他其实也受了伤。 林双火和林洪水都是天生神力，加上泼风刀法也是增强力道的，这就导致两人的刀势极重。 在最后那一下硬碰硬。 路胜右臂的肌肉也被震伤，后脚跟隐隐作疼，应该是高强度的爆发让脚筋也伤到了。 还有双肩因为短时间内连续爆发，全力使刀，加上最后一下硬撞，此时也传来阵阵痛楚，不知道是不是骨头伤到了。
CH0019,第19章 上路（一）,reversal,的！这次绝对是真的！” 路全安不理她，而是看向一边刚刚进来的大夫。 “小胜的伤势如何？” 这大夫其实也是路家的远亲，只不过是分工不同而已。路府发达后，便将他们都召集起来。 “还好，只是一些皮外伤。将养个十天半个月就能好。” 大夫赶紧回答。 “那就好，到时候再问问他还去不去沿山城学武。” 路全安想到这个，心里也有些烦躁。
CH0020,第20章 上路（二）,crisis,里来回走了几步。 他的伤势早就好得差不多了。只是一直在苦练黑煞功，等待气感。 只要有一丝气感，他就打算迅速提升内功，务必要让黑煞功真正形成自己实力的一部分。 就在这时，路全安匆匆忙忙带着两个家丁进入院子。 “胜儿，修养差不多了，今日就启程吧？” 路全安面色温和平静，手里提着一个黑色绸缎包裹。显然是为路胜准备的路上盘缠。
CH0021,第21章 上路（三）,crisis,门状态。 轰！！！ 几乎是同时间，路胜看到状态变化的瞬间，他体内五脏六腑猛地狠狠一热。 一股巨大的热流凭空出现在他体内，蛮横的开始循着十数条经脉狠狠窜动。 热流滚烫而烧灼，像是一条火焰在路胜体内流动。 他站在原地，脸色急速涨红，浑身皮肤跟着红起来，像是煮熟了的虾壳。 汗水大量的顺着全身毛孔渗出，然后化为白气，缓缓蒸腾。
CH0022,第22章 上路（四）,reversal,了许多，不似第一次那么艰难。 只是短短盏茶的功夫，也就是十几分钟时间。 路胜便慢慢缓过气来。 虽然身体还是很痛，无处不痛，一些新的经脉被黑煞功内气冲开，开始纳入循环网络，自然新的被冲开的经脉也需要修复，修复也需要时间。 但他现在的感觉。 就像是浑身上下充满了气，快要炸开一般。 “再试试！” 路胜站起身，抽出腰后的长刀。
CH0023,第23章 出事（一）,reward,路胜腰后挂着长刀，刀只是普通的精钢打造，不是什么有名兵刃，但胜在厚重，不那么容易坏。 两人一路赶到九连城，小巧已经累得不行，中途还是路胜抱着她赶了一截路才支撑下来。 路胜现在修习黑煞功，再加上每日勤练刀法，身体远比以前强壮太多。 特别是黑煞功的刺激强化。 每一次在体内运转一圈，就感觉像是一团滚烫热气在体内滋养肌肉骨骼。
CH0024,第24章 出事（二）,reversal,，便是一个衣柜，一个梳妆台。 梳妆台后面便是窗户，此时那木窗半开着，露出外面黑乎乎的小巷。 蜡烛光从进门右手面的书桌上照下来，将大半房间都照亮，却反倒衬托出那半开的木窗更加幽黑。 路胜走过去，探头从窗户望出去。 木窗外的巷子，正好面对着路府的一处侧门。 从窗口望外望去，可以清楚的看到一条笔直小巷直通有些荒凉的白色侧门。
CH0025,第25章 守夜（一）,question,加上大宋武官已经很多年没有打过仗。 实际上说起来，他这个官位，还是靠考兵法谋略，和做试卷考出来的。和打斗没什么关联。 大宋重文轻武也是很多年来的陋习了。所以此时一家人的主心骨，都在路胜身上。 “放心吧。”路胜回想起自己看到的那一抹白色衣角，心头隐隐有了一丝预感。 如果能抓住那白色衣角之人，或许能解决人口不断失踪的案子。
CH0026,第26章 守夜（二）,crisis,来的？比起那些山林里的猛兽也不遑多让了。 他曾经在山中见识过一只巡山黑熊，那黑熊闯入宅院时，造成的惨状便是如眼前这般差不多。 “今晚之事，谁也不准说出去！否则……”大伯路安平阴冷的看了周围人一圈。 “来人，把这里处理下，尽量不要留下任何痕迹。” 周围侍卫和家丁被他看得浑身一寒，此时还有地上的尸体威慑，顿时谁也不敢二话。
CH0027,第27章 招募（一）,crisis,向是我红莲寺虔诚香客之一，这次出事，主持吩咐我等专程前来，看看有没有什么地方能出手相助。” “多谢大师，也替我谢过红莲主持。” 路胜回以微笑。 另外那道人则开口询问案情。 路胜一一回答。 颜开两人在一旁仔细听着，一边也在打量这个路胜。 “是受阴气侵袭，而且是才不久受的伤。” 颜开仔细观察后，看出这个路大公子身体的异样。
CH0028,第28章 招募（二）,question,案的始末。” “在下也想尽一份绵薄之力。” 路胜认真道。 “我说不用就不用，普通人来再多也没用，就算你练过一点武功，也只会成我等的拖累。武功对鬼物没用！” 颜开毫不客气，皱眉直言道。 听得一边的段蓉蓉冷汗直冒，万一惹火了眼前这个路公子…… 路胜还想说话，就被颜开打断了。 “好了不用说了，这不是你们普通人能掺合得了的。”
CH0029,第29章 找到（一）,crisis,火把。 自己亲手握着火把，朝道观接近。 于汉想要制止，但转念一想，又咬咬牙。 “跟上！”他大声道，第二个跟着路胜走过去。 其余侍卫家丁一个个都有些心头发毛，可府里规矩如山，又不得不跟着于汉一起往前。 虽说有颜开挡在前面，还有大公子在前，但这些侍卫家丁一个个大多是雏儿，没见过血，能在这种阵仗里支撑着没跑路就已经很不错了。
CH0030,第30章 找到（二）,question,和原本一样。 专蜂见状，眼里闪过一丝悲哀。 “没用了，她已经傻了……阴气入脑，没了阳气支持，脑袋起码有一半以上的地方都没了生机，能活下来已经是奇迹了。这是那位道长说的原话。” 路胜心情沉到谷底。 抱着路轻轻站起身，又看了看其余两人。 这一男一女都模样俊俏俊美，身材也匀称漂亮，显然是这里的妖鬼专门留下来不知作何用途的货。
CH0031,第31章 爆炸（一）,reversal,，或许他……” 路胜闭上眼，面色阴沉，缓缓摇摇头。 “我已经问过了……” 他涩声道。 “按我说，二姐这样或许还能好些……免得整天出去惹是生非……” 五娘的女儿路莹莹在一旁小声嘀咕。 其余人没听到，但路胜却是因为练武，现在五感敏锐，耳聪目明，听得清清楚楚。 他抬头严厉的瞪了路莹莹一眼。 后者被吓得身体一抖，不敢再说话了。
CH0032,第32章 爆炸（二）,crisis,废墟层出不穷，像是一个个大小不一的坟包。 路胜还看到不光是他过来，还有不少佩戴刀剑兵器的江湖人，也在附近四处闲逛，似乎在寻找什么。 这些江湖人一个个相互保持距离，眼里有着警惕之色，身上或多或少都有一些气势，显然都不是九连城本身的那些练家子。 他还看到，这些江湖人不时的会从废墟堆里翻找出一些乱七八糟的东西，迅速收入怀里。
CH0033,第33章 不同（一）,crisis,木婉说的这些是真是假，但不管真假，只要再从此女身上弄到新的更强的内功，这一趟和其见面就算值了。 “内功心法？那种玩意儿……有用么？”端木婉理了理秀发，将胸前往路胜挺了挺。“内功有什么好玩的，不如公子和婉儿进房，玩一些有意思的游戏……” “婉儿姑娘说笑了，在下需要什么代价才能得到那种内功心法？还请姑娘明示。”路胜沉声道。
CH0034,第34章 不同（二）,question,。 “三位先请坐。”路胜笑了笑。 等待侍女上完茶，纷纷退下，关好门窗后。 他才继续道：“道长，昨夜到底发生了什么？”路胜又询问一次。 颜开也不隐瞒，将之前端木婉说的那一番说辞一一道来。等到说完，已经是半个时辰后了。 他这次所说的，比端木婉还要详细，或许是想到坏了路胜几匹马有些不好意思，颜开也很认真的回答路胜的一些问题。
CH0035,第35章 离开（上）,question,候出发？”他问。 路全安想了下：“你想什么时候出发由你自己决定吧，我请你大伯派人送你。” “……我先去城里看看吧……”路胜叹气。 城里他向不少师傅学过功夫，这趟出远门，论礼节是要前去拜访打招呼的。 路全安点头默许，便任由路胜处理了。 路胜拖着才提升内气，伤势未愈的身体，第二日一大早便出了门，在九连城内坐着马车绕了一圈。
CH0036,第36章 离开（下）,reversal,前鼓囊，双腿修长，长发及腰，一见便能让他联想起什么秋月、白兰、清纯之类的词语。 “他们也是一片好意。”路胜笑了笑。他不是什么伪君子，也不是坐怀不乱，有漂亮女孩主动追求，自己本身也没有婚嫁。他也没抵触心思，便抱着顺其自然的念头。 特别是眼前这女孩明明最好的地方是长腿，在这里的人眼里却成了最差的地方。想到这里他便有些惋惜。
CH0037,第37章 弄情（一）,open,热热闹闹喝酒说笑，再带几句自以为风流文采的打油诗，气氛倒是热烈。 路胜被安排和陈芸熙坐在一起，另外一起来的还有两个女孩，一个挨着宋振国，一个挨着另一个面色清冷的学院学生。看起来都是成双成对。 嘭！ 硕大的金色烟花，在寻阳楼外骤然炸开，于夜幕中化为一朵巨大牡丹。 “开始了！开始了！！”众人纷纷欢呼起来，起身涌到楼边观赏。
CH0038,第38章 弄情（二）,question,晃晃的小灯笼，淡淡的红光从灯笼里映照出来，这红火的颜色，在这深夜越发显得清冷。 “有人吗？”路胜一眼望去，居然整个楼船里都看不到一个人。 “我记得刚才来时，这里没这么多红灯笼……”他双目微微眯起，心中有些发紧。 楼船上三层，每层五个房间，一共十五个房间，个个门口都挂了红灯笼。淡淡的红光将整个楼船内都染成红色，一片寂静。
CH0039,第39章 弄情（三）,crisis,是像上次水鬼留下的那种鹅卵石再多点，或许我还能推演其他黑煞功等更高级的功法。” 感受了下新的内功，似乎随着爆发力的增强，玉鹤功原本的自愈能力也得到了丝丝强化。 “这已经不算事玉鹤功了，既然是融合了黑虎刀法劲力技巧，以后，就叫黑虎玉鹤功算了。” 他心中这么想着，顿时修改器上玉鹤功显示的名字，也缓缓变成了黑虎玉鹤功五个字。
CH0040,第40章 弄情（四）,question,，总是不散。 “可我也没办法，谁叫我天生就腿长呢？”陈芸熙仰起头，一脸愁苦的看着他。“我知道你可能瞧不上我，但我真的很喜欢你……” 她咬咬牙，从腰囊里取出一卷有着铜印的纸张，轻轻展开。 “我父亲说了，听说路大哥你家里要搬迁大城，不如就搬过来这里。只要你愿意，这是沿山城十五栋酒楼的商契，便都是你的。足以让路家站稳脚跟。”
CH0041,第41章 弄情（五）,reversal,给画舫的女孩送水粉和香包，才专门半夜跑去找表弟？可既然你也回去了，怎么……” “极有可能！”路胜也想到了，“别猜了，我们直接去画舫问问吧。” 宋振国闻言，点点头。 两人二话不说，再度拦了马车，直奔松柏江边，此时天色渐晚，正好是夜晚游玩喝花酒的时间。 宋振国带着路胜轻车熟路的找到了之前他们去过的那家画舫，名字叫莺莺画舫。
CH0042,第42章 弄情（六）,crisis,到了自己苦恋的君儿。他一个月单单这上边就要花销上千两银票，就为了将君儿完整的保下来，不让其他客人点她的单。为了这事，家里老父已经和他吵了不下十次。 一想到这事，宋振国便又头疼起来。 匆匆到了家，他下车付了钱，进了庭院，便朝自己房间赶去，一刻也不想看到家里任何人。 几个侍女下人见了他，正想问候打招呼，转眼便看不到他影了。
CH0043,第43章 倩影（一）,crisis,想，来沿山城这几个月，他也暗地里调查询问清楚了这城内的情况。 沿山城高手不多，因为官府势力强盛，对江湖人马管束较多，所以这里的高手反倒是官场中人和带兵将领来得多。 其中名气最大的，便是一气青峰剑鲁城钟。相比此人，其余人都只是陪衬，不过鲁城钟已经八十七岁了，三个儿子都是城内高官，根本不好接近请教。 这个首先便被路胜排除。
CH0044,第44章 倩影（二）,crisis,我一朋友至交送给我的礼物。上好的九原玉石。” 路胜接过来，刚一到手，便感觉玉石中一股冰寒气息顺着手掌急涌入体内。 那冰寒气息，居然和之前他吸收那粉末时，感觉一模一样。 “好浓的阴气！”路胜心头一震，他把这种气息命名为阴气，而这块玉石中的阴气之盛，比他之前吸收的粉末还要强出太多，以至于他不用滴血也能靠着皮肤接触吸收很多。
CH0045,第45章 倩影（三）,open,尖锐，有的声音粗豪，不断从街道上经过。 此时街道上一长串吹着唢呐大声唱歌的队伍，穿得红红蓝蓝，多是些大叔大妈，敲鼓砸锣，喊着号子，正是熏缎节前的民歌预热，朝着城中心的方向慢慢赶去。 更让路胜无语的是，周围街边出来看热闹的民众，居然也一点不觉得吵，反而兴高采烈的跟着队伍走，有的还一起跟着唱。还专门有衙门的官差来维持秩序。
CH0046,第46章 倩影（四）,crisis,麻下来，提不起力气。她想要冲出房间，找到宋振国，让他赶紧走。但她知道自己做不到。 “嘻嘻嘻……” 忽然一阵尖锐的女子笑声从房间另一处出响起。 君儿猛然看过去。 房间自己的床铺上，不知道什么时候坐了一个浑身白裙的长发女子。 这女子一头黑发瀑布般垂下，将整个头和脸都遮住，看不到把那点面容。她的身子骨纤细得像一阵风就能吹倒。
CH0047,第47章 倩影（五）,crisis,！！ “死！！！” 剧烈的墙壁破碎声中，竟然还夹杂着震耳欲聋的狂吼，路胜穷追不舍，一刀再度砸烂墙壁，扑向白衣人。 他浑身血管隐隐凸显，浮现在全身表面，身上血气翻滚汹涌，整个人仿佛一下膨胀起来，比之前的体型足足大了一大圈，如同小巨人。 他手里提着那把刀，对比他的体型，就像是捏着根小树枝。刀身粗细甚至还没有小臂的三分之一。
CH0048,第48章 倩影（六）,reversal,焦黑的路胜，伸手拦住君儿，忽然对着路胜深深一记弯腰鞠躬。 “这一次，是我差点害了月生和焦荣的性命。为了我和君儿的事，差点将你们两人牵扯进来。” “此事……怕是还不算完。”路胜却冲他微微摇头。 宋振国一愣，忽然看到路胜的视线落在自己身侧君儿身上。 他迅速转头看向君儿，却骇然看见，她原本实实在在的身体，正慢慢的变得半透明。
CH0049,第49章 事了（一）,crisis,脸上眼睛下微微浮现的黑眼圈，表明她休息不好。 “真的很累啊。”路胜叹了句。 端木婉点点头，叹息一声，全然没了第一次遇到路胜时的从容妖媚。 “有的人，总以为自己胜券在握，什么话也听不进，什么事也只认为自己是对的。无论你找出多少证明，告诉他这是错的，都没用……你说，这样的人，是不是很讨厌？” 路胜沉默了下。 “是很讨厌。”
CH0050,第50章 事了（二）,crisis,，知道这有可能是短时间内临时出现的一缕内气，之后随时会消失，他马上心中默念。 “深蓝！” 修改器界面浮现出来，还停留在刚才吸收了阴气后的状态，每个功法后面都有着一个可以推演的按钮。 路胜略过其他武学，视线笔直落在黑虎玉鹤功上。 “黑虎玉鹤功：第三层顶峰。特效：快速止血。” 下面便是新出现的阴阳引。 “阴阳引：未入门。”
CH0051,第51章 方向（一）,reversal,之举，老挂在嘴边做什么。”路胜摆摆手。“说起来，这趟岁试怎么没看到振国兄？” “他啊。”陈焦荣摇头，“被抽中考生检查，早就进去了。最近不知道发生了什么事，那家伙好像受了什么刺激，开了窍一般，经义策论越来越精熟，这趟怕是要中。” “是吗？”路胜微微有些意外，还以为宋振国经历君儿之事后，会情绪低落失意，没想到还振作起来了。
CH0052,第52章 方向（二）,reversal,其实就是黑道组织。黑帮组织。只不过比较隐蔽而已。 他想了下，又塞出一两碎银，给老头子算是谢礼。 “公子上道！”老头顿时眉开眼笑。“这赤鲸帮里强人不少，据说还是帮衙门管理沿山城治安的庞然大物，想必里面一定有人有办法解决公子的体质。” 路胜可不管这些，他想到的是更强的功法，赤鲸帮如果能混进去，或许能弄到比黑煞功还强的功法。
CH0053,第53章 赤鲸（一）,crisis,也懒得搞什么弯弯绕绕，直白一点。 “武功啊……”这下赵杰释然了。赤鲸帮的武功确实是北地最强，其余什么会什么门，都没法比。 “好吧，请去登记一下名字，年龄，擅长。”他直接给路胜指了指一侧右边的一扇小门。 “事先提醒一句，我帮中弟子想要习武，都是从宣武阁中习得，而进宣武阁，需要评定阁下的实力层次，和为帮中做出的贡献程度。”
CH0054,第54章 赤鲸（二）,crisis,一群人围着老头忙活了半晌，路胜站在一边，肖老过来想要开口安慰他，但眼下那王老头没救活之前，说什么话都是白费。 他看怪物一般看了眼路胜，摇头叹气，最终拍拍路胜肩膀，什么话也没说。 路胜有些无语，刚刚才升腾起来的一点热血，一下又沉寂下来。 他忽然有些明白自己现在的实力到什么层次了。 不是自己之前猜测的名宿，或许比那更强……
CH0055,第55章 赤鲸（三）,crisis,什么怪事？”路胜问。 赵杰眉头微皱，低沉道：“之前一个住在附近的书生，叫什么王紫泉的，据说莫名其妙深夜去了一趟画舫，便再也没回来，前不久还闹腾得沸沸扬扬。” “这事我也听说了，我还问过上边要不要处理下，毕竟引起的恐慌太大。上边直接回答说，这事不用管，过阵子就会自己消停。”肖老接话道。 路胜双目一眯，心中隐隐有些明白了。
CH0056,第56章 赤鲸（四）,reversal,找。 他笔直朝着最上方的帮主洪明资看去。 “果真是英姿勃发，人中龙凤！”洪明资声音有些虚弱，但还是中气十足，欣慰笑道。 “我赤鲸帮，就是因为如路小兄弟这般的英才不断加入，才能一直雄霸北地，屹立不倒。” “诸位也都见过人了，还请说说意见吧？”副帮主陈鹰也走上去，坐下自己的位置。 专门也有人引着路胜到侧面的一个座椅上坐下。
CH0057,第57章 宋家庄（一）,crisis,就算是帮中帮主也比不上。而这个位置也多是轮换制，不是一直由某个人担任。每次轮换一年。 高层大多是轮番担任一下外务使，当时的吴三就是如此，他才刚刚轮换上任，知道黑祸危险，为了谨慎起见，他带了足足一队人，一共五人，都是通力层次的好手，前往调查此事。 结果，吴三失踪了，他带过去的人，也都失踪了，之后他的尸体被发现在小树林里。
CH0058,第58章 宋家庄（二）,crisis,渐看到不同角度的庄子内庭景象。 破败的枯树。 满是白灰的窗户。 随风摇动的白灯笼。 布满划痕的房屋柱子。 还有……石桥上站着的一个书生。披头散发，正双眼直瞪瞪盯着经过马车的灰衣书生。 路胜双目一下睁大，以他的目力，能够清楚的看到，那书生面无表情，双眼里满是血丝，脸色惨白，站在那里若不是眼睛睁着，都能让人以为他是个死人。
CH0059,第59章 宋家庄（三）,reversal,多出一道红印，但没破皮。 “这才一门硬功，就有这么大效果，这刀可是我才换的新货。”路胜心中满意。“等这边事了，去宣武阁好好找找，或许能找到不少对我有用的免费武学。”他心中对赤鲸帮的宣武阁更加期待了。 抬起头，路胜再度朝着那庄子方向看去，他隐隐能感觉到，那庄子里面似乎隐藏了什么东西。 他决定在这里常驻几天，仔细调查清楚。
CH0060,第60章 宋家庄（四）,reversal,卖了个精光。剩下的都是破旧不堪，连收货的人都嫌弃难搬的东西。 望着小女孩跑出去的身影，路胜看了看破败的庭院，阴森的环境。 “难为这小家伙了。” “没想到这真有人住啊。”段蒙安感觉有些紧张。 “这庄子有人住很奇怪么？”另一人叫宁三，是路胜挑选来专门走这一趟的好手。 他们假借路人身份，便是打算来仔细调查这个庄子的内部情况。
CH0061,第61章 宋家庄（五）,reversal,来。 路胜迅速拿出打火石，又尝试了几次，都是刚点上就被风吹熄，无奈之下，他只得放下烛台，就这么走出房间，朝茅房方向走去。 黑漆漆的庭院里，到处都看不到灯光，也不知道其他人是都睡了还是怎么的。一个人声都没有。 路胜缓缓顺着走廊往外走，茅房的方向，一般是在房屋的后院。 他走出走廊，进到院子，绕到整个卧房的侧面，往后院走去。
CH0062,第62章 宋家庄（六）,crisis,死了接连五头阴蝠，其中一头速度太快，狠狠在一名护卫脖子上咬了口，差点就将他直接咬死。 要不是李顺溪动手够快，这护卫也是小命不保。这下，包括龚如清和龚如梦在内的所有人，都对李顺溪越发佩服和依赖。特别是两个漂亮女孩的青睐，让李顺溪越发得意起来。 他也频频看向路胜。却见其依旧没有任何反应，只是似乎因为找不到人，面色越发凝重。
CH0063,第63章 宋家庄（七）,crisis,狠推开，一下又扑向李顺溪。 李顺溪左挡右避，但龚如清的身手仿佛一下变得极其强悍，几个回合后，他居然有些抵挡不住。 他咬咬牙，从腰包里取出一根暗金色锥子，上边刻有细密的繁复花纹。 可看到梨花带雨的龚如清，他又下不来手。毕竟这女子只是被附身而已，这样下手，岂不是等于自己亲手害了一条性命？ 犹豫了下，他马上又被狠狠划了一刀。
CH0064,第64章 宋家庄（八）,crisis,又出现在门前，她的身体从正中被砍成两片，此时还残留着一条细长的血线裂缝。 李顺溪面色瞬间青了。 “啊！！”段蒙安吓得赶紧把还站在身边的那个护卫推开。那护卫也是面色青白，身上散发出一股股腐臭。 宁三满头冷汗，一想到自己刚才居然和一堆死尸睡了这么久，他就心头打颤。 “走吧。”路胜看也不看一群护卫小姐，大步朝着厨房门口走去。
CH0065,第65章 怪异（一）,reward,这个事实后，他再结合大门前留下的脚印，其中只有他们三人和那个李顺溪的脚印，其余人居然一个也没有。 虽然处于黑夜，一片漆黑，但依旧阻挡不了路胜强大的目力留意到这细节。 前后结合一下，他便有了猜测，之后再一一仔细观察，还有闻到龚如清等人身上的气味，极其稀薄的淡淡气味，和那小女孩宋云娟身上一模一样。 结果自然便八九不离十了。
CH0066,第66章 怪异（二）,question,异的目光看着路胜。“虽然有不少阳性内功，练到高处都能伤到鬼物，但那是低级鬼物，而且打中几十下能消灭掉一头鬼物，就算不错了。像尸魄这样的鬼物中也算棘手的角色，居然被路兄双掌数十招内打得融化成黑水。李某还是第一次见。” 路胜也有些奇了。 “或许是我所练的功法阳性极强？” “敢问路兄，你练的内功是什么名字？”李顺溪好奇问道。
